index,I1_D0_Col0_1,I1_D0_Col0_2,I1_D0_Col0_3,I1_D0_Col0_4,I1_D0_Col0_5,I1_D0_mfec_1,I1_D0_mfec_2,I1_D0_mfec_3,I1_D0_mfec_4,I1_D0_mfec_5,I1_D5_Col0_1,I1_D5_Col0_2,I1_D5_Col0_3,I1_D5_Col0_4,I1_D5_Col0_5,I1_D5_mfec_1,I1_D5_mfec_2,I1_D5_mfec_3,I1_D5_mfec_4,I1_D5_mfec_5,I1_D6_Syncom_Col0_1,I1_D6_Syncom_Col0_2,I1_D6_Syncom_Col0_3,I1_D6_Syncom_Col0_4,I1_D6_Syncom_Col0_5,I1_D6_Syncom_fec_1,I1_D6_Syncom_fec_2,I1_D6_Syncom_fec_3,I1_D6_Syncom_fec_4,I1_D6_Syncom_fec_5,I1_D6_Syncom_mfec_1,I1_D6_Syncom_mfec_2,I1_D6_Syncom_mfec_3,I1_D6_Syncom_mfec_4,I1_D6_Syncom_mfec_5,I1_D6_Syncom_min7_1,I1_D6_Syncom_min7_2,I1_D6_Syncom_min7_3,I1_D6_Syncom_min7_4,I1_D6_Syncom_min7_5,I1_NS_D0_Col0_1,I1_NS_D0_Col0_2,I1_NS_D0_Col0_3,I1_NS_D0_Col0_4,I1_NS_D0_Col0_5,I1_NS_D0_mfec_1,I1_NS_D0_mfec_2,I1_NS_D0_mfec_3,I1_NS_D0_mfec_4,I1_NS_D0_mfec_5,I1_NS_D5_Col0_1,I1_NS_D5_Col0_2,I1_NS_D5_Col0_3,I1_NS_D5_Col0_4,I1_NS_D5_Col0_5,I1_NS_D5_mfec_1,I1_NS_D5_mfec_2,I1_NS_D5_mfec_3,I1_NS_D5_mfec_4,I1_NS_D5_mfec_5,I2_D0_Col0_1,I2_D0_Col0_2,I2_D0_Col0_3,I2_D0_Col0_4,I2_D0_Col0_5,I2_D0_mfec_1,I2_D0_mfec_2,I2_D0_mfec_3,I2_D0_mfec_4,I2_D0_mfec_5,I2_D5_Col0_1,I2_D5_Col0_2,I2_D5_Col0_3,I2_D5_Col0_4,I2_D5_Col0_5,I2_D5_mfec_1,I2_D5_mfec_2,I2_D5_mfec_3,I2_D5_mfec_4,I2_D5_mfec_5,I2_D6_Syncom_Col0_1,I2_D6_Syncom_Col0_2,I2_D6_Syncom_Col0_3,I2_D6_Syncom_Col0_4,I2_D6_Syncom_Col0_5,I2_D6_Syncom_fec_1,I2_D6_Syncom_fec_2,I2_D6_Syncom_fec_3,I2_D6_Syncom_fec_4,I2_D6_Syncom_fec_5,I2_D6_Syncom_mfec_1,I2_D6_Syncom_mfec_2,I2_D6_Syncom_mfec_3,I2_D6_Syncom_mfec_4,I2_D6_Syncom_mfec_5,I2_D6_Syncom_min7_1,I2_D6_Syncom_min7_2,I2_D6_Syncom_min7_3,I2_D6_Syncom_min7_4,I2_D6_Syncom_min7_5,I2_NS_D0_Col0_1,I2_NS_D0_Col0_2,I2_NS_D0_Col0_3,I2_NS_D0_Col0_4,I2_NS_D0_Col0_5,I2_NS_D0_mfec_1,I2_NS_D0_mfec_2,I2_NS_D0_mfec_3,I2_NS_D0_mfec_4,I2_NS_D0_mfec_5,I2_NS_D5_Col0_1,I2_NS_D5_Col0_2,I2_NS_D5_Col0_3,I2_NS_D5_Col0_4,I2_NS_D5_Col0_5,I2_NS_D5_mfec_1,I2_NS_D5_mfec_2,I2_NS_D5_mfec_3,I2_NS_D5_mfec_4,I2_NS_D5_mfec_5,I3_D0_Col0_1,I3_D0_Col0_2,I3_D0_Col0_3,I3_D0_Col0_4,I3_D0_Col0_5,I3_D0_mfec_1,I3_D0_mfec_2,I3_D0_mfec_3,I3_D0_mfec_4,I3_D0_mfec_5,I3_D5_Col0_1,I3_D5_Col0_2,I3_D5_Col0_3,I3_D5_Col0_4,I3_D5_Col0_5,I3_D5_mfec_1,I3_D5_mfec_2,I3_D5_mfec_3,I3_D5_mfec_4,I3_D5_mfec_5,I3_D6_Syncom_Col0_1,I3_D6_Syncom_Col0_2,I3_D6_Syncom_Col0_3,I3_D6_Syncom_Col0_4,I3_D6_Syncom_Col0_5,I3_D6_Syncom_fec_1,I3_D6_Syncom_fec_2,I3_D6_Syncom_fec_3,I3_D6_Syncom_fec_4,I3_D6_Syncom_fec_5,I3_D6_Syncom_mfec_1,I3_D6_Syncom_mfec_2,I3_D6_Syncom_mfec_3,I3_D6_Syncom_mfec_4,I3_D6_Syncom_mfec_5,I3_D6_Syncom_min7_1,I3_D6_Syncom_min7_2,I3_D6_Syncom_min7_3,I3_D6_Syncom_min7_4,I3_D6_Syncom_min7_5,I3_NS_D0_Col0_1,I3_NS_D0_Col0_2,I3_NS_D0_Col0_3,I3_NS_D0_Col0_4,I3_NS_D0_Col0_5,I3_NS_D0_mfec_1,I3_NS_D0_mfec_2,I3_NS_D0_mfec_3,I3_NS_D0_mfec_4,I3_NS_D0_mfec_5,I3_NS_D5_Col0_1,I3_NS_D5_Col0_2,I3_NS_D5_Col0_3,I3_NS_D5_Col0_4,I3_NS_D5_Col0_5,I3_NS_D5_mfec_1,I3_NS_D5_mfec_2,I3_NS_D5_mfec_3,I3_NS_D5_mfec_4,I3_NS_D5_mfec_5,I4_D6_Syncom_Col0_1,I4_D6_Syncom_Col0_2,I4_D6_Syncom_Col0_3,I4_D6_Syncom_Col0_4,I4_D6_Syncom_Col0_5,I4_D6_Syncom_fec_1,I4_D6_Syncom_fec_2,I4_D6_Syncom_fec_3,I4_D6_Syncom_fec_4,I4_D6_Syncom_fec_5,I4_D6_Syncom_mfec_1,I4_D6_Syncom_mfec_2,I4_D6_Syncom_mfec_3,I4_D6_Syncom_mfec_4,I4_D6_Syncom_mfec_5,I4_D6_Syncom_min7_1,I4_D6_Syncom_min7_2,I4_D6_Syncom_min7_3,I4_D6_Syncom_min7_4,I4_D6_Syncom_min7_5,I4_NS_D0_Col0_1,I4_NS_D0_Col0_2,I4_NS_D0_Col0_3,I4_NS_D0_Col0_4,I4_NS_D0_Col0_5,I4_NS_D0_mfec_1,I4_NS_D0_mfec_2,I4_NS_D0_mfec_3,I4_NS_D0_mfec_4,I4_NS_D0_mfec_5,I4_NS_D5_Col0_1,I4_NS_D5_Col0_2,I4_NS_D5_Col0_3,I4_NS_D5_Col0_4,I4_NS_D5_Col0_5,I4_NS_D5_mfec_1,I4_NS_D5_mfec_2,I4_NS_D5_mfec_3,I4_NS_D5_mfec_4,I4_NS_D5_mfec_5,I5_D0_Col0_1,I5_D0_Col0_2,I5_D0_Col0_3,I5_D0_Col0_4,I5_D0_Col0_5,I5_D0_mfec_1,I5_D0_mfec_2,I5_D0_mfec_3,I5_D0_mfec_4,I5_D0_mfec_5,I5_D5_Col0_1,I5_D5_Col0_2,I5_D5_Col0_3,I5_D5_Col0_4,I5_D5_Col0_5,I5_D5_mfec_1,I5_D5_mfec_2,I5_D5_mfec_3,I5_D5_mfec_4,I5_D5_mfec_5,I5_D6_Syncom_Col0_1,I5_D6_Syncom_Col0_2,I5_D6_Syncom_Col0_3,I5_D6_Syncom_Col0_4,I5_D6_Syncom_Col0_5,I5_D6_Syncom_fec_1,I5_D6_Syncom_fec_2,I5_D6_Syncom_fec_3,I5_D6_Syncom_fec_4,I5_D6_Syncom_fec_5,I5_D6_Syncom_mfec_1,I5_D6_Syncom_mfec_2,I5_D6_Syncom_mfec_3,I5_D6_Syncom_mfec_4,I5_D6_Syncom_mfec_5,I5_D6_Syncom_min7_1,I5_D6_Syncom_min7_2,I5_D6_Syncom_min7_3,I5_D6_Syncom_min7_4,I5_D6_Syncom_min7_5
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae;g__Niastella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000186524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000180408,0,0,0,0,0,0,0.007691985,0,0,0,3.50E-05,0,0,0,0,0,0,0.000296589,0,0,0.001307,0,0.05469442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013224822,0,0,0,0.04063745,0,0.000524659,0,0,0.002686859,0,4.92E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.000273254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002898551,0,0,0,0,0,0.01514154,0,0,0.013274336,0,0,0,0,0,0,0,0,8.50E-05,0.001566477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000589044,0,0,0,0,0,0,0,0,0,0,0,0,0.000266044,0,0,0,0,0,0,0,0,0,0,0,0.010291595,0,0,0,0,0,0,0,0,0,0,0,0,0.127901883,0,0,0,0,0,0,0,0,0,0.001242236,0,0,0.002100105,0,3.98E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000180408,0,0,0,0,0,0,0.007691985,0,0,0,3.50E-05,0,0,0,0,0,0,0.000296589,0,0,0.001307,0,0.05469442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013224822,0,0,0,0.04063745,0,0.000524659,0,0,0.002686859,0,4.92E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.000273254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002898551,0,0,0,0,0,0.01514154,0,0,0.013274336,0,0,0,0,0,0,0,0,8.50E-05,0.001566477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000589044,0,0,0,0,0,0,0,0,0,0,0,0,0.000266044,0,0,0,0,0,0,0,0,0,0,0,0.010291595,0,0,0,0,0,0,0,0,0,0,0,0,0.127901883,0,0,0,0,0,0,0,0,0,0.001242236,0,0,0.002100105,0,3.98E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04063745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001566477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000327247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__[Prevotella],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04063745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001566477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000327247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000296589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.92E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002898551,0,0,0,0,0,0,0,0,0.008849558,0,0,0,0,0,0,0,0,8.50E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127901883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000296589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.92E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002898551,0,0,0,0,0,0,0,0,0.008849558,0,0,0,0,0,0,0,0,8.50E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127901883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001307,0,0.05469442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013224822,0,0,0,0,0,0,0,0,0.002686859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004424779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000261797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010291595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05469442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013224822,0,0,0,0,0,0,0,0,0.002686859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000261797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000180408,0,0,0,0,0,0,0.007691985,0,0,0,3.50E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000524659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000273254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01514154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000266044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002100105,0,3.98E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000180408,0,0,0,0,0,0,0.007691985,0,0,0,3.50E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000524659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000273254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01514154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000266044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002100105,0,3.98E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Bacteroidetes;c__Cytophagia,0,0,0,0,0,0,0,0,0,0,0,0,0.00032144,0,0,0,0,0,0,0,0,0,0,0,0,0.000185471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004168114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001593625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.05E-05,0,0,0,0,0.000125612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000235152,0,0.000221073,0.000522159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.75E-05,0,0,0.00011479,7.46E-05,0,0,0,0,0,0,0,0,0,0.000136623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales,0,0,0,0,0,0,0,0,0,0,0,0,0.00032144,0,0,0,0,0,0,0,0,0,0,0,0,0.000185471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004168114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001593625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.05E-05,0,0,0,0,0.000125612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000235152,0,0.000221073,0.000522159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.75E-05,0,0,0.00011479,7.46E-05,0,0,0,0,0,0,0,0,0,0.000136623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cyclobacteriaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.75E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cyclobacteriaceae;g__Algoriphagus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.75E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae,0,0,0,0,0,0,0,0,0,0,0,0,0.00032144,0,0,0,0,0,0,0,0,0,0,0,0,0.000185471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004168114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001593625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.05E-05,0,0,0,0,0.000125612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000235152,0,0.000221073,0.000522159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00011479,7.46E-05,0,0,0,0,0,0,0,0,0,0.000136623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
